Club,Address,Stadium Name,Audience Capacity
ADO Den Haag,The Hague,Cars Jeans Stadion,15000
SC Cambuur,Leeuwarden,Cambuur Stadion,10500
FC Den Bosch,'s-Hertogenbosch,Stadion De Vliert,8713
FC Dordrecht,Dordrecht,Riwal Hoogwerkers Stadion,4235
FC Eindhoven,Eindhoven,Jan Louwers Stadion,4600
FC Emmen,Emmen,De Oude Meerdijk,8600
De Graafschap,Doetinchem,Stadion De Vijverberg,12600
FC Groningen,Groningen,Euroborg,22550
Helmond Sport,Helmond,SolarUnie Stadion,4142
Jong Ajax,Amsterdam,Sportpark De Toekomst,2050
Jong AZ,Alkmaar,AFAS Trainingscomplex,200
Jong PSV,Eindhoven,PSV Campus De Herdgang,2500
Jong FC Utrecht,Utrecht,Sportcomplex Zoudenbalch,550
MVV Maastricht,Maastricht,Stadion De Geusselt,10000
NAC Breda,Breda,Rat Verlegh Stadion,19000
Roda JC Kerkrade,Kerkrade,Parkstad Limburg Stadion,19979
Telstar,Velsen,Rabobank IJmond Stadion,3060
TOP Oss,Oss,Frans Heesenstadion,4560
VVV-Venlo,Venlo,Covebo Stadion - De Koel -,8000
Willem II,Tilburg,Koning Willem II Stadion,14500
